PacketNumber,Latency
0.0,68.97401809692383
1.0,54.26597595214844
2.0,51.95903778076172
3.0,61.27285957336426
4.0,53.51090431213379
5.0,58.077096939086914
6.0,53.47943305969238
7.0,53.627729415893555
8.0,53.21168899536133
9.0,49.520254135131836
10.0,53.70950698852539
11.0,52.939414978027344
12.0,57.183027267456055
13.0,53.12180519104004
14.0,49.213409423828125
15.0,55.94825744628906
16.0,68.56679916381836
17.0,57.233333587646484
18.0,48.87247085571289
19.0,56.7779541015625
20.0,56.878089904785156
21.0,57.10649490356445
22.0,57.161808013916016
23.0,57.05094337463379
24.0,56.90956115722656
25.0,57.32083320617676
26.0,56.98537826538086
27.0,49.61442947387695
28.0,50.09770393371582
29.0,50.50349235534668
30.0,49.81398582458496
31.0,49.38364028930664
32.0,49.15046691894531
33.0,48.99907112121582
34.0,49.00717735290527
35.0,49.15046691894531
36.0,56.94246292114258
37.0,57.9073429107666
38.0,48.76875877380371
39.0,49.10850524902344
40.0,48.80666732788086
41.0,49.06320571899414
42.0,49.41415786743164
43.0,49.26609992980957
44.0,48.94304275512695
45.0,48.9351749420166
46.0,48.9194393157959
47.0,48.96068572998047
48.0,48.993587493896484
49.0,49.086570739746094
50.0,48.813819885253906
51.0,48.89845848083496
52.0,49.19266700744629
53.0,51.705121994018555
54.0,56.85162544250488
55.0,57.15823173522949
56.0,57.097434997558594
57.0,57.042598724365234
58.0,56.86831474304199
59.0,57.5709342956543
60.0,49.27992820739746
61.0,50.642967224121094
62.0,58.135032653808594
63.0,51.31816864013672
64.0,49.257755279541016
65.0,61.132192611694336
66.0,48.93994331359863
67.0,49.16715621948242
68.0,49.413442611694336
69.0,48.94375801086426
70.0,53.70640754699707
71.0,53.1766414642334
72.0,53.08103561401367
73.0,57.0378303527832
74.0,52.67024040222168
75.0,55.38511276245117
76.0,52.91152000427246
77.0,68.80474090576172
78.0,48.84195327758789
79.0,48.83265495300293
80.0,48.859357833862305
81.0,48.708200454711914
82.0,48.79426956176758
83.0,48.86364936828613
84.0,48.96974563598633
85.0,57.0988655090332
86.0,53.006887435913086
87.0,48.94447326660156
88.0,53.296804428100586
89.0,49.20840263366699
90.0,51.20658874511719
91.0,50.31847953796387
92.0,53.00498008728027
93.0,60.799360275268555
94.0,48.831939697265625
95.0,52.834272384643555
96.0,48.836469650268555
97.0,52.92153358459473
98.0,48.97332191467285
99.0,48.758506774902344
